timestamp,level,logger,message,module,function,line,exception,extra
2026-03-12T11:45:59.211666,INFO,core.realtime_monitor,Real-time monitor started (1 files),realtime_monitor,start,200,,
2026-03-12T11:46:10.169267,INFO,services.log_service,Starting ingestion: E:\Project Quorum\backend\data\uploads\test_logs_100.log,log_service,ingest_file,69,,
2026-03-12T11:46:10.170266,INFO,parsers.parser_factory,Auto-detecting parser for: E:\Project Quorum\backend\data\uploads\test_logs_100.log,parser_factory,create_parser,57,,
2026-03-12T11:46:10.191208,INFO,parsers.parser_factory,Detected format: PlainTextParser,parser_factory,create_parser,63,,
2026-03-12T11:46:13.009651,INFO,core.database,Inserted 100 records into logs,database,insert_batch,396,,
2026-03-12T11:46:13.010645,INFO,services.log_service,Ingestion complete: 100 entries in 2.86s,log_service,ingest_file,119,,
2026-03-12T11:46:13.252597,INFO,parsers.parser_factory,Auto-detecting parser for: E:\Project Quorum\backend\data\uploads\test_logs_100.log,parser_factory,create_parser,57,,
2026-03-12T11:46:13.253594,INFO,parsers.parser_factory,Detected format: PlainTextParser,parser_factory,create_parser,63,,
2026-03-12T11:46:40.105259,INFO,services.analysis_service,Starting analysis session 01b5337e-9470-4d39-aa6f-0c856813eff2 | algorithm=ensemble,analysis_service,analyze_logs,57,,
2026-03-12T11:46:40.142742,INFO,core.database,Inserted 1 records into analysis_sessions,database,insert_batch,396,,
2026-03-12T11:46:40.227066,INFO,services.analysis_service,"Loaded 100 logs for analysis (requested=ensemble, resolved=ensemble)",analysis_service,analyze_logs,83,,
2026-03-12T11:47:19.077226,INFO,ai_engine.feature_extractor,Extracting features from 100 logs,feature_extractor,extract_batch,66,,
2026-03-12T11:47:19.147038,INFO,ai_engine.feature_extractor,Extracted 20 features,feature_extractor,extract_batch,168,,
2026-03-12T11:47:19.147038,INFO,services.analysis_service,Feature extraction time: 0.070 sec,analysis_service,analyze_logs,125,,
2026-03-12T11:47:19.147038,INFO,ai_engine.ensemble,Running anomaly detection: ensemble,ensemble,detect,93,,
2026-03-12T11:47:19.147038,INFO,ai_engine.ensemble,Running full hybrid ensemble detection,ensemble,_hybrid_ensemble_detect,148,,
2026-03-12T11:47:19.208873,INFO,ai_engine.statistical_detector,Model loaded from E:\Project Quorum\backend\data\models\statistical.pkl,statistical_detector,load,157,,
2026-03-12T11:47:19.260735,INFO,ai_engine.ensemble,Statistical Detector time: 0.110 sec,ensemble,_hybrid_ensemble_detect,185,,
2026-03-12T11:47:19.333541,INFO,ai_engine.one_class_svm,Model loaded from E:\Project Quorum\backend\data\models\one_class_svm.pkl,one_class_svm,load,164,,
2026-03-12T11:47:19.394989,INFO,ai_engine.ensemble,SVM time: 0.245 sec,ensemble,_hybrid_ensemble_detect,185,,
2026-03-12T11:47:19.422943,INFO,ai_engine.isolation_forest,Model loaded from E:\Project Quorum\backend\data\models\isolation_forest.pkl,isolation_forest,load,159,,
2026-03-12T11:47:19.429926,INFO,ai_engine.ensemble,Isolation Forest time: 0.281 sec,ensemble,_hybrid_ensemble_detect,185,,
2026-03-12T11:47:19.433947,INFO,ai_engine.ensemble,Keyword Engine time: 0.004 sec,ensemble,_hybrid_ensemble_detect,197,,
2026-03-12T11:47:19.449873,INFO,ai_engine.ensemble,Ensemble complete: 55 anomalies detected,ensemble,_hybrid_ensemble_detect,207,,
2026-03-12T11:47:19.450868,INFO,services.analysis_service,Detection time: 0.303 sec,analysis_service,analyze_logs,137,,
2026-03-12T11:47:19.502280,INFO,services.analysis_service,Detected 55 anomalies above threshold 0.75,analysis_service,analyze_logs,155,,
